source_apartment_name,target_apartment_name,distance_meters,distance_km
(1-102),방산아파트,199.84293453,0.20
(1101-1),신대림자이1단지,171.24003418,0.17
(1546-0),중구리버빌,234.72956812,0.23
(1617-21),상지리츠빌(1617-13),121.56827862,0.12
(185-5),인택파크랜드,75.32600113,0.08
(20-3),에피소드1,151.66141132,0.15
(23-42),정은노블스B,33.2524429,0.03
(246-11),주성AURA,169.74956194,0.17
(46-220),한백e타운(46-219),15.17489607,0.02
(60-1),이화에수풀,413.03108374,0.41
(66-3),월드빌,173.17060691,0.17
(685-103),보람(685-100),18.71235174,0.02
(717-15)경원주택5동,(717-20)한성,15.54199059,0.02
(717-20)한성,(717-15)경원주택5동,15.54199059,0.02
(717-23)함양주택,(717-24)함양주택,6.9737489,0.01
(717-24)함양주택,(717-23)함양주택,6.9737489,0.01
(717-39),(717-20)한성,26.78503008,0.03
(718-16)경원주택,(718-18)삼성빌라트,12.01231129,0.01
(718-18)삼성빌라트,(718-16)경원주택,12.01231129,0.01
(718-29)청원아트빌라,(718-18)삼성빌라트,41.43530471,0.04
(740-21),(740-25),21.0617923,0.02
(740-25),현대빌라(740-27),12.83353775,0.01
(741-7),청송빌라,22.6048588,0.02
(742-58),(742-64),22.86473974,0.02
(742-64),(742-58),22.86473974,0.02
(743-10),(743-26),21.86935134,0.02
(743-26),(743-33),17.72675465,0.02
(743-33),(743-26),17.72675465,0.02
(743-55),청송빌라,18.58339182,0.02
(743-60),현대빌라(740-27),24.52274678,0.02
(744-18),(744-21),6.84476329,0.01
(744-21),(744-18),6.84476329,0.01
(744-23),(744-21),14.25059992,0.01
(744-3),(744-18),10.62140394,0.01
(744-45),(744-18),35.55723511,0.04
(745-10),대승빌라,15.45749674,0.02
(745-40),(745-43),20.17574744,0.02
(745-43),(745-40),20.17574744,0.02
(745-57),807-41,35.17917272,0.04
(746-17),(747-33),19.69989436,0.02
(747-10),(747-19),24.59981529,0.02
(747-19),(747-34),18.6263159,0.02
(747-33),(747-34),7.74126298,0.01
(747-34),(747-33),7.74126298,0.01
(747-51),(747-52),8.09606926,0.01
(747-52),(747-51),8.09606926,0.01
(748-48),(803-29),20.08416067,0.02
(748-5),구로궁전빌리지(771-42),29.57969016,0.03
(749-1),(749-29),33.11315482,0.03
(749-29),(749-30),12.65446993,0.01
(749-30),(749-29),12.65446993,0.01
(749-49),은진빌라,17.56769045,0.02
(749-99),(750-8),12.1901614,0.01
(750-13),(750-8),12.90729988,0.01
(750-15),(750-13),13.36720092,0.01
(750-8),(749-99),12.1901614,0.01
(752-17),(752-37),35.92690047,0.04
(752-37),(752-17),35.92690047,0.04
(770-52),(770-56),27.46859635,0.03
(770-56),(771-2),20.69123162,0.02
(771-2),(770-56),20.69123162,0.02
(771-30),구로궁전빌리지(771-42),15.12715264,0.02
(779-13),대신빌라,24.77699236,0.02
(779-2),(779-3),8.06309786,0.01
(779-3),(779-2),8.06309786,0.01
(780-31),(780-72)삼익빌라,26.76798078,0.03
(780-41),(781-26),41.46362223,0.04
(780-72)삼익빌라,(780-31),26.76798078,0.03
(781-26),(781-6),31.81904038,0.03
(781-6),(781-26),31.81904038,0.03
(791-21)태영빌라,서원빌라,15.89001897,0.02
(792-103),영암빌라,9.89570435,0.01
(792-11),미도빌라B동,17.42100672,0.02
(792-78),미도빌라B동,10.98206778,0.01
(792-86),경성빌라,12.10346011,0.01
(793-24),(792-103),13.14169261,0.01
(793-44),(793-54),16.5712865,0.02
(793-54),(793-44),16.5712865,0.02
(793-6),(792-103),25.28120577,0.03
(794-13),대영빌라,17.77759371,0.02
(794-21),(794-24),7.88890046,0.01
(794-24),(794-21),7.88890046,0.01
(796-11),성산,19.83997892,0.02
(796-51),성산,29.97961751,0.03
(797-15),(796-51),50.7832522,0.05
(797-25),(797-26),6.5749827,0.01
(797-26),(797-25),6.5749827,0.01
(797-5),(797-26),15.43270655,0.02
(797-57),(797-26),23.81603749,0.02
(798-26),삼주빌라,16.01912235,0.02
(798-55),(798-26),35.57211597,0.04
(799-11),대영빌라,24.08343628,0.02
(801-32),801-9,43.64145546,0.04
(803-13)구로아트빌라8,(803-29),32.44175568,0.03
(803-29),(748-48),20.08416067,0.02
(805-16),(806-15),18.63573007,0.02
(806-15),(806-41)가람빌라,9.2935615,0.01
(806-41)가람빌라,(806-15),9.2935615,0.01
(806-62),(806-63)태영빌라,12.5519603,0.01
(806-63)태영빌라,백록빌라,10.03929024,0.01
(807-29),807-41,23.35668492,0.02
(828-21),(828-76),19.73784228,0.02
(828-76),(828-21),19.73784228,0.02
(91-511),벽산솔렌스힐,75.58911326,0.08
(아이엔에스새터),대명이룸아파트(565-0),49.08706446,0.05
(토지임대부아파트)강남브리즈힐,래미안강남힐즈,321.4622932,0.32
(토지임대부아파트)엘에이치서초5단지,서초네이처힐6단지,303.45002542,0.30
(해오름),청솔브레싱(B동)(400-9),36.94525547,0.04
2차한양아파트,한양아파트,195.95526151,0.20
3RU-City,광남캐스빌1(512-4),106.47132879,0.11
67디벨리움,노원프레미어스엠코,40.26161805,0.04
800-22,현암B동,13.21337489,0.01
801-9,800-22,30.64228957,0.03
807-41,(807-29),23.35668492,0.02
APELBAUM,드림팰리스,45.47177697,0.05
AZ0213,스카이빌2차,167.55100474,0.17
AirPalace(619-7),공항동부센트레빌,239.70855838,0.24
AndPra레지던스,크로스캐슬,28.87567407,0.03
CG아름채목동아파트,목동두산위브,102.25903113,0.10
CJ나인파크,프라임펠리스,76.19374744,0.08
CJ빌리지,한신진일빌라트,39.62834438,0.04
CS타워,이화에수풀,197.16068246,0.20
DK포시즌,삼성브래뉴,54.49841757,0.05
DMC덕원,월드메르시안(179-8),120.03682556,0.12
DMC두산위브,DMC래미안클라시스,279.40990463,0.28
DMC래미안e편한세상,래미안남가좌2차,200.06816063,0.20
DMC래미안클라시스,DMC센트레빌,193.71188885,0.19
DMC마포청구아파트,예원,105.76883258,0.11
DMC문영퀸즈파크아파트,명남태봉,116.52980213,0.12
DMC상암센트럴파크1단지,DMC상암센트럴파크2단지,106.9539798,0.11
DMC상암센트럴파크2단지,DMC상암센트럴파크1단지,106.9539798,0.11
DMC서부인터빌,동도하이츠비동,170.88726812,0.17
DMC센트레빌,DMC아이파크,93.8423925,0.09
DMC아이파크,DMC센트레빌,93.8423925,0.09
DMC우방,청구,240.52976335,0.24
DMC월드,자선메르시안(162-20),61.44112858,0.06
DMC이랜드해가든,월드컵현대,105.640599,0.11
DMC자이1단지,DMC자이2단지,121.6764901,0.12
DMC자이2단지,DMC자이1단지,121.6764901,0.12
DMC파크뷰자이1단지,DMC파크뷰자이5단지,0,0.00
DMC파크뷰자이1단지,DMC파크뷰자이2단지,0,0.00
DMC파크뷰자이1단지,DMC파크뷰자이4단지,0,0.00
DMC파크뷰자이1단지,DMC파크뷰자이3단지,0,0.00
DMC파크뷰자이2단지,DMC파크뷰자이4단지,0,0.00
DMC파크뷰자이2단지,DMC파크뷰자이1단지,0,0.00
DMC파크뷰자이2단지,DMC파크뷰자이5단지,0,0.00
DMC파크뷰자이2단지,DMC파크뷰자이3단지,0,0.00
DMC파크뷰자이3단지,DMC파크뷰자이1단지,0,0.00
DMC파크뷰자이3단지,DMC파크뷰자이5단지,0,0.00
DMC파크뷰자이3단지,DMC파크뷰자이4단지,0,0.00
DMC파크뷰자이3단지,DMC파크뷰자이2단지,0,0.00
DMC파크뷰자이4단지,DMC파크뷰자이3단지,0,0.00
DMC파크뷰자이4단지,DMC파크뷰자이1단지,0,0.00
DMC파크뷰자이4단지,DMC파크뷰자이5단지,0,0.00
DMC파크뷰자이4단지,DMC파크뷰자이2단지,0,0.00
DMC파크뷰자이5단지,DMC파크뷰자이4단지,0,0.00
DMC파크뷰자이5단지,DMC파크뷰자이3단지,0,0.00
DMC파크뷰자이5단지,DMC파크뷰자이2단지,0,0.00
DMC파크뷰자이5단지,DMC파크뷰자이1단지,0,0.00
DMC한양,선결,135.79776667,0.14
DMC현대아파트,선결,57.8331911,0.06
DMC휴먼빌아파트,청솔하이츠1동,67.43098246,0.07
DUO302,한양I-Class,58.12250381,0.06
E-아름다운세상,서울숲금강아미움,156.38353687,0.16
EGSoulLeader,월드102,57.69115439,0.06
EL샤틀레,동훈노보빌,51.27786254,0.05
