apartment_name,school_name,distance_meters,distance_km
(1-102),서울국제고등학교,259.1496489,0.26
(1101-1),서울영림초등학교,179.78538685,0.18
(1546-0),성동공업고등학교,378.40472197,0.38
(1617-21),서울서일초등학교,278.44705433,0.28
(185-5),세륜중학교,453.67154074,0.45
(20-3),서울장안초등학교,472.97360259,0.47
(23-42),서울은명초등학교,330.50963228,0.33
(246-11),선화예술중학교,396.47592182,0.40
(246-11),선화예술고등학교,396.47592182,0.40
(46-220),서울화곡초등학교,169.30554656,0.17
(60-1),서울대학교사범대학부설여자중학교,330.08756158,0.33
(60-1),서울대학교사범대학부설초등학교,330.08756158,0.33
(66-3),양재고등학교,640.02292764,0.64
(685-103),당곡고등학교,123.4008906,0.12
(717-15)경원주택5동,서울영일초등학교,225.65931784,0.23
(717-20)한성,서울영일초등학교,225.35979628,0.23
(717-23)함양주택,서울영일초등학교,205.53998235,0.21
(717-24)함양주택,서울영일초등학교,198.61278837,0.20
(717-39),서울영일초등학교,220.69005815,0.22
(718-16)경원주택,서울영일초등학교,238.71214027,0.24
(718-18)삼성빌라트,서울영일초등학교,245.92689772,0.25
(718-29)청원아트빌라,서울영일초등학교,216.63050292,0.22
(740-21),서울영일초등학교,406.55007504,0.41
(740-25),서울영일초등학교,427.59189854,0.43
(741-7),서울영일초등학교,496.27937497,0.50
(742-58),서울영일초등학교,506.58186253,0.51
(742-64),서울영일초등학교,503.23790745,0.50
(743-10),서울영일초등학교,447.35713474,0.45
(743-26),서울영일초등학교,457.5838351,0.46
(743-33),서울영일초등학교,441.35466165,0.44
(743-55),서울영일초등학교,476.46938905,0.48
(743-60),서울영일초등학교,436.82516319,0.44
(744-18),서울영일초등학교,376.52327623,0.38
(744-21),서울영일초등학교,383.20612068,0.38
(744-23),서울영일초등학교,386.675594,0.39
(744-3),서울영일초등학교,379.63319826,0.38
(744-45),서울영일초등학교,351.1247917,0.35
(745-10),서울영일초등학교,305.75781652,0.31
(745-40),서울영일초등학교,277.17305343,0.28
(745-43),서울영일초등학교,277.12278659,0.28
(745-57),서울영일초등학교,240.63455741,0.24
(746-17),서울영일초등학교,273.05579166,0.27
(747-10),서울영일초등학교,331.38858378,0.33
(747-19),서울영일초등학교,315.34933002,0.32
(747-33),서울영일초등학교,292.75341607,0.29
(747-34),서울영일초등학교,296.96131399,0.30
