apartment_name,line_name,distance_meters,distance_km
(1-102),한성대입구(삼선교),974.82580374,0.97
(1-102),한성대입구(삼선교),974.82580374,0.97
(1101-1),구로디지털단지,198.17836123,0.20
(1101-1),구로디지털단지,198.17836123,0.20
(1546-0),신당,427.10849943,0.43
(1617-21),남부터미널(예술의전당),509.16603605,0.51
(1617-21),남부터미널(예술의전당),509.16603605,0.51
(185-5),방이,214.81591679,0.21
(20-3),어린이대공원(세종대),586.77604981,0.59
(23-42),응암,124.07394107,0.12
(246-11),아차산(어린이대공원후문),488.98226787,0.49
(46-220),화곡,738.75542129,0.74
(60-1),혜화,364.33366224,0.36
(60-1),혜화,364.33366224,0.36
(66-3),양재(서초구청),629.7419321,0.63
(685-103),당곡,651.74538865,0.65
(717-15)경원주택5동,남구로,330.29914595,0.33
(717-20)한성,남구로,343.67782191,0.34
(717-23)함양주택,남구로,334.40812367,0.33
(717-24)함양주택,남구로,331.91976896,0.33
(717-39),남구로,363.35733359,0.36
(718-16)경원주택,남구로,394.39221812,0.39
(718-18)삼성빌라트,남구로,406.36031654,0.41
(718-29)청원아트빌라,남구로,407.45629987,0.41
(740-21),남구로,316.54265067,0.32
(740-25),남구로,331.93469304,0.33
(741-7),남구로,371.1934164,0.37
(742-58),남구로,344.37577045,0.34
(742-64),남구로,354.77121897,0.35
(743-10),남구로,286.21766295,0.29
(743-26),남구로,306.59399863,0.31
(743-33),남구로,299.14327712,0.30
(743-55),남구로,343.2395525,0.34
(743-60),남구로,313.66850455,0.31
(744-18),남구로,229.16888742,0.23
(744-21),남구로,234.44974119,0.23
(744-23),남구로,247.37911447,0.25
(744-3),남구로,223.03048069,0.22
(744-45),남구로,235.03644687,0.24
(745-10),남구로,193.93601386,0.19
(745-40),남구로,165.85349126,0.17
(745-43),남구로,145.84875606,0.15
(745-57),남구로,169.97388661,0.17
(746-17),남구로,110.73063593,0.11
(747-10),남구로,136.01840457,0.14
(747-19),남구로,112.70556484,0.11
(747-33),남구로,111.27009863,0.11
(747-34),남구로,105.43778133,0.11
(747-51),남구로,82.07754567,0.08
(747-52),남구로,88.81810957,0.09
(748-48),남구로,48.45906278,0.05
(748-5),남구로,125.24873437,0.13
(749-1),남구로,217.14004923,0.22
(749-29),남구로,184.08144841,0.18
(749-30),남구로,175.68402876,0.18
(749-49),남구로,170.62420769,0.17
(749-99),남구로,177.28841251,0.18
(750-13),남구로,191.4978622,0.19
(750-15),남구로,202.64486176,0.20
(750-8),남구로,179.71721707,0.18
(752-17),남구로,276.23542262,0.28
(752-37),남구로,278.23067826,0.28
(770-52),남구로,232.93049782,0.23
(770-56),남구로,212.57767681,0.21
(771-2),남구로,192.2198728,0.19
(771-30),남구로,157.55503363,0.16
(779-13),남구로,232.83616446,0.23
(779-2),남구로,275.47836476,0.28
(779-3),남구로,267.44353627,0.27
(780-31),남구로,191.63170941,0.19
(780-41),남구로,217.05701173,0.22
(780-72)삼익빌라,남구로,169.60005363,0.17
(781-26),남구로,248.30359229,0.25
(781-6),남구로,223.22128217,0.22
(791-21)태영빌라,남구로,175.32612774,0.18
(792-103),남구로,112.16952533,0.11
(792-11),남구로,147.9521901,0.15
(792-78),남구로,119.87589754,0.12
(792-86),남구로,101.57839559,0.10
(793-24),남구로,103.02751046,0.10
(793-44),남구로,72.99281702,0.07
(793-54),남구로,59.83719475,0.06
(793-6),남구로,126.58222537,0.13
(794-13),남구로,103.50764581,0.10
(794-21),남구로,82.81625637,0.08
(794-24),남구로,74.96930289,0.07
(796-11),남구로,161.25838852,0.16
(796-51),남구로,200.16222703,0.20
(797-15),남구로,248.49544657,0.25
(797-25),남구로,188.37490636,0.19
(797-26),남구로,182.20305615,0.18
(797-5),남구로,169.03322019,0.17
(797-57),남구로,172.88802291,0.17
(798-26),남구로,128.59604267,0.13
(798-55),남구로,114.18756315,0.11
(799-11),남구로,122.4516062,0.12
(801-32),남구로,85.7024426,0.09
(803-13)구로아트빌라8,남구로,31.98759178,0.03
(803-29),남구로,29.76695353,0.03
(805-16),남구로,108.42020478,0.11
(806-15),남구로,90.50947107,0.09
(806-41)가람빌라,남구로,87.956729,0.09
(806-62),남구로,96.16048956,0.10
(806-63)태영빌라,남구로,96.03551318,0.10
(807-29),남구로,139.35307007,0.14
(828-21),강남,441.81262354,0.44
(828-76),강남,445.62450747,0.45
(91-511),서강대,244.8675533,0.24
(아이엔에스새터),장한평,385.36991883,0.39
(토지임대부아파트)강남브리즈힐,일원,1360.27949329,1.36
(토지임대부아파트)강남브리즈힐,일원,1360.27949329,1.36
(토지임대부아파트)엘에이치서초5단지,양재시민의숲(매헌),1704.24361108,1.70
(해오름),장한평,473.68459433,0.47
2차한양아파트,송파나루,683.1303508,0.68
3RU-City,홍대입구,143.82462638,0.14
3RU-City,홍대입구,143.82462638,0.14
67디벨리움,태릉입구,103.22878651,0.10
800-22,남구로,49.75635533,0.05
801-9,남구로,78.16564762,0.08
807-41,남구로,151.32639406,0.15
APELBAUM,서초,652.42065056,0.65
APELBAUM,서초,652.42065056,0.65
AZ0213,구의(광진구청),310.20979839,0.31
AZ0213,구의(광진구청),310.20979839,0.31
AirPalace(619-7),공항시장,301.8597404,0.30
AndPra레지던스,까치산,208.29454665,0.21
CG아름채목동아파트,염창,528.35599172,0.53
CJ나인파크,삼각지,376.30569504,0.38
CJ빌리지,잠원,338.84500536,0.34
CJ빌리지,잠원,338.84500536,0.34
CS타워,종로5가,506.05914289,0.51
CS타워,종로5가,506.05914289,0.51
DK포시즌,쌍문,898.72801866,0.90
DK포시즌,쌍문,898.72801866,0.90
DMC덕원,디지털미디어시티,312.78935427,0.31
DMC덕원,디지털미디어시티,312.78935427,0.31
DMC두산위브,증산(명지대앞),778.07817795,0.78
DMC래미안e편한세상,가좌,634.92927477,0.63
DMC래미안클라시스,증산(명지대앞),909.42886421,0.91
DMC마포청구아파트,디지털미디어시티,232.00967921,0.23
DMC문영퀸즈파크아파트,증산(명지대앞),449.14972524,0.45
DMC상암센트럴파크1단지,디지털미디어시티,368.38175127,0.37
DMC상암센트럴파크2단지,디지털미디어시티,264.47795048,0.26
DMC서부인터빌,증산(명지대앞),312.86020886,0.31
DMC센트레빌,가좌,851.79620326,0.85
DMC아이파크,가좌,876.15745366,0.88
DMC우방,디지털미디어시티,550.27257215,0.55
DMC우방,디지털미디어시티,550.27257215,0.55
DMC월드,증산(명지대앞),312.60496303,0.31
DMC이랜드해가든,디지털미디어시티,161.22942645,0.16
DMC자이1단지,디지털미디어시티,284.08970004,0.28
DMC자이1단지,디지털미디어시티,284.08970004,0.28
DMC자이2단지,디지털미디어시티,164.06168832,0.16
DMC자이2단지,디지털미디어시티,164.06168832,0.16
DMC파크뷰자이1단지,가좌,466.79880074,0.47
DMC파크뷰자이2단지,가좌,466.79880074,0.47
DMC파크뷰자이3단지,가좌,466.79880074,0.47
DMC파크뷰자이4단지,가좌,466.79880074,0.47
DMC파크뷰자이5단지,가좌,466.79880074,0.47
DMC한양,디지털미디어시티,681.12677627,0.68
DMC현대아파트,디지털미디어시티,583.67769659,0.58
DMC휴먼빌아파트,증산(명지대앞),745.34968985,0.75
DUO302,신당,339.55931593,0.34
E-아름다운세상,성수,557.57848935,0.56
E-아름다운세상,성수,557.57848935,0.56
EGSoulLeader,망우,445.32542665,0.45
EL샤틀레,보라매,144.71066673,0.14
FIRSTVIEW,4.19민주묘지,242.36075329,0.24
GS자이,마포,519.66896242,0.52
G패밀리움,녹번,640.64446049,0.64
G패밀리움,녹번,640.64446049,0.64
IS아파트,면목,576.22842097,0.58
JS아파트,장한평,528.06184063,0.53
K.L.C,석촌,620.46798698,0.62
KCC엠파이어리버,합정,150.44649532,0.15
KNP이스트빌,길동,581.47338858,0.58
KNP주상복합1,길동,531.20265897,0.53
LG선릉에클라트(A),선릉,261.59653217,0.26
LG선릉에클라트(B),선릉,237.50267302,0.24
LG한강자이,이촌(국립중앙박물관),342.08248756,0.34
LIG5차,관악산(서울대),304.37883855,0.30
LIGA,강동,316.21490568,0.32
LIG건영,상계,234.76994837,0.23
LIG건영,상계,234.76994837,0.23
LIG건영캐스빌,쌍문,799.82726729,0.80
LIG건영캐스빌,쌍문,799.82726729,0.80
LIG대학마을(건영아파트3차),관악산(서울대),332.70938848,0.33
LIG서울역리가,서울역,380.05459595,0.38
LIPe-푸른아파트,오류동,448.4194684,0.45
MARKHILLS,흑석(중앙대입구),419.24937567,0.42
MID그린(1동),창신,490.62502136,0.49
MID그린(3동),창신,498.68996029,0.50
MID그린(5동),창신,530.27118069,0.53
MID그린(6동),창신,537.40665034,0.54
MID그린(7동),창신,513.89280643,0.51
N-Suite(1513-2),서초,603.55236981,0.60
N-Suite(1513-2),서초,603.55236981,0.60
NEWSK아파트,화곡,1310.19582529,1.31
ParkPalaceII,염창,497.38038792,0.50
RudenHouse,신사,584.85351312,0.58
RudenHouse,신사,584.85351312,0.58
RudenHouse,신사,584.85351312,0.58
SG타워,중랑,348.65380505,0.35
SK,송파,528.25104941,0.53
SKVIEW,신도림,455.94728408,0.46
SK리더스뷰(파스텔시티),사당,94.21524057,0.09
SK리더스뷰남산,회현(남대문시장),221.92466581,0.22
SK리더스뷰남산,회현(남대문시장),221.92466581,0.22
SK청암대(64-1),마포,507.37502051,0.51
SK허브프리모,양재(서초구청),102.47163243,0.10
SM드림빌,선정릉,349.31410214,0.35
SM빌,길동,195.80857495,0.20
SM엘루이,석수,1208.70946061,1.21
SM엘루이아파트,목동,545.7973839,0.55
SM이로빌4차A동(455-5),장한평,546.22966465,0.55
SM이로빌4차B동(455-4),장한평,565.27944511,0.57
SM이로빌5차,용마산,1287.49423287,1.29
SM이로빌아파트,길동,468.8677309,0.47
SM해그린,먹골,362.48051352,0.36
SM해그린12차,길동,600.96738334,0.60
SPACE(920-5),까치산,416.99715221,0.42
SR친오애,대림(구로구청),445.46581196,0.45
THESILK,영등포시장,514.40316982,0.51
ThePlusⅢ,이태원,193.67778932,0.19
UPPERHOUSE,구반포,757.26964143,0.76
VIP(602-284),사당,616.00138518,0.62
YM프라젠,장한평,525.57047418,0.53
e-편한세상,신논현,411.8325796,0.41
e-편한세상,신논현,411.8325796,0.41
e-푸른가동,중랑,326.69393235,0.33
e편한세상,쌍문,667.22485643,0.67
e편한세상,쌍문,667.22485643,0.67
e편한세상 수색 에코포레,수색,771.77084812,0.77
kcc웰츠,공덕,42.18196628,0.04
kcc웰츠,공덕,42.18196628,0.04
sk파크타워,개롱,51.04859415,0.05
urbanplace,강남,580.70580276,0.58
가락(1차)쌍용아파트,경찰병원,319.11379545,0.32
가락(1차)쌍용아파트,경찰병원,319.11379545,0.32
가락3차쌍용스윗닷홈(103동),경찰병원,215.54843704,0.22
가락3차쌍용스윗닷홈(103동),경찰병원,215.54843704,0.22
"가락3차쌍용스윗닷홈101동,102동",경찰병원,220.07629619,0.22
"가락3차쌍용스윗닷홈101동,102동",경찰병원,220.07629619,0.22
가락그랑밸리,경찰병원,234.13348085,0.23
가락그랑밸리,경찰병원,234.13348085,0.23
가락금호아파트,가락시장,425.63413321,0.43
가락미륭아파트,경찰병원,428.44091304,0.43
가락미륭아파트,경찰병원,428.44091304,0.43
가락삼익맨숀,오금,639.6283508,0.64
가락스타클래스,오금,184.6621161,0.18
가락쌍용(2차),오금,502.69287361,0.50
가락우성2,경찰병원,456.44840449,0.46
가락우성2,경찰병원,456.44840449,0.46
가락한일유앤아이,경찰병원,170.73121821,0.17
가락한일유앤아이,경찰병원,170.73121821,0.17
가락현대투웰브(101동),개롱,705.75820507,0.71
가락현대투웰브(102동),개롱,714.92335617,0.71
가람,일원,163.72671372,0.16
가람,일원,163.72671372,0.16
가산양우내안에애플,가산디지털단지,768.48926695,0.77
가산지웰에스테이트,가산디지털단지,726.65608839,0.73
가야써니빌,망우,481.58889071,0.48
가야써니빌(373-7),장한평,995.24928625,1.00
가양1차보람더하임,양천향교,654.25431859,0.65
가양2단지(성지),양천향교,566.91862841,0.57
가양6단지,가양,473.64003861,0.47
가양강나루현대,가양,233.14242966,0.23
가양도시개발9-2단지,증미,203.16004903,0.20
가양우성,가양,95.82748427,0.10
가우디캐슬,장한평,275.20431828,0.28
가우디트윈캐슬1,장한평,832.40742705,0.83
각산,금천구청,616.72711157,0.62
갈현1단지e-편한세상,구산,978.72318471,0.98
갈현건영,구파발,990.22209768,0.99
갈현건영,구파발,990.22209768,0.99
갈현동현대,연신내,686.81602231,0.69
갈현삼성,구산,850.70159245,0.85
갈현현대,구산,1045.15754176,1.05
갑오빌라트,석촌,148.97873636,0.15
갑을,서울대입구(관악구청),683.2834976,0.68
갑을,서울대입구(관악구청),683.2834976,0.68
갑을명가,남성,492.3349614,0.49
갑을아파트,홍제,2469.69839129,2.47
