apartment_id,apartment_name,apartment_address,subway_count
2557,LIG서울역리가,서울특별시 중구 만리동1가 231,11
3438,남산트라팰리스,서울특별시 중구 남대문로5가 827,11
4107,대림상가,서울특별시 중구 산림동 207-2,11
1598,인현상가/신성아파트,서울특별시 중구 인현동2가 192-30,11
2554,진양상가,서울특별시 중구 충무로4가 120-3,11
4106,청계상가,서울특별시 중구 산림동 207-1,11
4625,동평화패션타운,서울특별시 중구 신당동 217-95,10
2558,서울역디오빌,서울특별시 중구 만리동1가 62-7,10
17,동문상가,서울특별시 종로구 창신동 436-41,8
4553,보미리아파트,서울특별시 서초구 잠원동 32-22,8
1449,서초노빌리에,서울특별시 서초구 서초동 1566-19,8
1399,서초프라임빌(1566-9),서울특별시 서초구 서초동 1566-9,8
36,숭인모범103동,서울특별시 종로구 숭인동 569-4,8
41,숭인상가,서울특별시 종로구 숭인동 204-11,8
4554,잠원동트루빌,서울특별시 서초구 잠원동 33-7,8
38,종로유케이201,서울특별시 종로구 숭인동 201-11,8
26,종로중흥S클래스,서울특별시 종로구 숭인동 202-3,8
3439,충무로엘크루메크로시티2차,서울특별시 중구 충무로5가 36-2,8
35,탑스빌,서울특별시 종로구 숭인동 178-76,8
3440,하니맨션,서울특별시 중구 필동1가 51-11,8
1260,AirPalace(619-7),서울특별시 강서구 방화동 619-7,7
5329,개포우성1,서울특별시 강남구 대치동 503,7
2555,남산센트럴자이,서울특별시 중구 충무로4가 306,7
4535,대주피오레아파트,서울특별시 서초구 잠원동 31-14,7
13,동대문,서울특별시 종로구 창신동 328-17,7
12,동대문맨션,서울특별시 종로구 창신동 578-5,7
42,동일상가,서울특별시 종로구 숭인동 232-29,7
6,두산,서울특별시 종로구 창신동 232,7
4546,로즈빌,서울특별시 서초구 잠원동 32-10,7
4633,마이스터빌,서울특별시 중구 신당동 407-7,7
47,버넷하임1,서울특별시 종로구 숭인동 1421,7
3444,브라운스톤서울,서울특별시 중구 중림동 355,7
3441,상지리츠빌장충동카일룸,서울특별시 중구 장충동1가 104,7
51,센트레빌아스테리움서울,서울특별시 용산구 동자동 45,7
1083,순화동더샵,서울특별시 중구 순화동 151,7
31,숭인한양LEEPS,서울특별시 종로구 숭인동 1421-2,7
374,신공덕e편한세상,서울특별시 마포구 신공덕동 168,7
1624,신설동역대우아이빌1,서울특별시 동대문구 용두동 236-1,7
39,오성,서울특별시 종로구 숭인동 888,7
4098,운현신화타워,서울특별시 종로구 익선동 30-6,7
45,익성씨티하임,서울특별시 종로구 숭인동 1392,7
34,종로동광모닝스카이,서울특별시 종로구 숭인동 1421-1,7
40,종로아인스빌,서울특별시 종로구 숭인동 1392-1,7
30,종로청계힐스테이트,서울특별시 종로구 숭인동 766,7
49,충무,서울특별시 중구 묵정동 11-2,7
4097,현대뜨레비앙,서울특별시 종로구 익선동 55,7
3448,후암미주,서울특별시 용산구 후암동 423-1,7
3913,공항동부센트레빌,서울특별시 강서구 공항동 1374,6
4636,기린,서울특별시 중구 신당동 333-26,6
3446,뉴후암,서울특별시 용산구 후암동 426,6
3982,대우트럼프월드II,서울특별시 영등포구 여의도동 48,6
4542,데뜨아르,서울특별시 서초구 잠원동 67-1,6
46,동문(482-0),서울특별시 종로구 숭인동 482,6
44,"동문(비동,씨동)(494-0)",서울특별시 종로구 숭인동 494,6
50,동자,서울특별시 용산구 동자동 19-8,6
5304,래미안대치팰리스,서울특별시 강남구 대치동 1027,6
5196,로얄팰리스,서울특별시 강남구 역삼동 633-22,6
1475,롯데캐슬메디치,서울특별시 서초구 서초동 1656-4,6
1229,마포동원베네스트,서울특별시 마포구 도화동 564,6
1233,마포아크로타워,서울특별시 마포구 도화동 563,6
1231,마포트라팰리스,서울특별시 마포구 도화동 559,6
48,묵정,서울특별시 중구 묵정동 11-67,6
4647,벽산메가트리움,서울특별시 용산구 한강로2가 2-8,6
366,브라운스톤공덕아파트,서울특별시 마포구 신공덕동 170,6
4534,브라운스톤잠원,서울특별시 서초구 잠원동 67-2,6
3475,삼성쉐르빌,서울특별시 성동구 도선동 69,6
4119,상리제나우스,서울특별시 성동구 하왕십리동 966-18,6
3753,서서울삼성,서울특별시 마포구 아현동 692,6
1526,서초아크빌,서울특별시 서초구 서초동 1568-1,6
1427,서초우방유쉘,서울특별시 서초구 서초동 1560-9,6
3443,성요셉,서울특별시 중구 중림동 149,6
1228,성지,서울특별시 마포구 도화동 538,6
43,숭인모범104동,서울특별시 종로구 숭인동 569-2,6
33,숭인모범105동,서울특별시 종로구 숭인동 569-3,6
3974,여의도자이,서울특별시 영등포구 여의도동 47,6
4272,염리동세양청마루아파트101동,서울특별시 마포구 염리동 522,6
3050,예빌리지,서울특별시 용산구 효창동 5-262,6
4105,예장동삼익,서울특별시 중구 예장동 9,6
4121,왕십리지웰,서울특별시 성동구 하왕십리동 1064,6
3395,우성리빙텔,서울특별시 강남구 도곡동 467-10,6
1227,정우상가맨션,서울특별시 마포구 도화동 536,6
1517,제이씨라디앙,서울특별시 서초구 서초동 1559-1,6
3376,타워팰리스3,서울특별시 강남구 도곡동 467-29,6
29,하림빌라트,서울특별시 종로구 숭인동 473,6
5310,한보미도맨션1,서울특별시 강남구 대치동 511,6
5315,한보미도맨션2,서울특별시 강남구 대치동 511,6
5222,(828-21),서울특별시 강남구 역삼동 828-21,5
5213,(828-76),서울특별시 강남구 역삼동 828-76,5
1218,3RU-City,서울특별시 서대문구 창천동 510-2,5
3783,DMC마포청구아파트,서울특별시 마포구 중동 390,5
403,DMC상암센트럴파크1단지,서울특별시 마포구 상암동 1630,5
1757,DMC자이1단지,서울특별시 은평구 수색동 75,5
3734,DMC자이2단지,서울특별시 은평구 증산동 223-28,5
371,kcc웰츠,서울특별시 마포구 신공덕동 171,5
5178,강남역우정에쉐르,서울특별시 강남구 역삼동 823-7,5
2441,경남레이크파크,서울특별시 송파구 송파동 32-1,5
1230,고려,서울특별시 마포구 도화동 544,5
1881,공덕1삼성래미안,서울특별시 마포구 공덕동 371,5
368,공덕아이파크,서울특별시 마포구 신공덕동 174,5
1886,공덕파크자이,서울특별시 마포구 공덕동 476,5
376,공덕프로포즈Ⅱ,서울특별시 마포구 신공덕동 15-80,5
3648,공신,서울특별시 성북구 삼선동4가 44,5
4867,광남벨라스2동,서울특별시 마포구 동교동 200-4,5
1223,광남캐스빌1(512-4),서울특별시 서대문구 창천동 512-4,5
2136,구로현대,서울특별시 구로구 구로동 1256,5
4627,노블레스하우스,서울특별시 중구 신당동 290-67,5
2418,당산대우,서울특별시 영등포구 당산동2가 16-1,5
3925,대림e-편한세상4,서울특별시 구로구 신도림동 646,5
3391,대림아크로빌,서울특별시 강남구 도곡동 467-6,5
3767,대명,서울특별시 마포구 연남동 259-1,5
4626,대성드림,서울특별시 중구 신당동 290-52,5
3,대성스카이렉스,서울특별시 종로구 견지동 110,5
389,대아,서울특별시 마포구 서교동 329-2,5
5187,대우디오빌플러스,서울특별시 강남구 역삼동 824-25,5
373,대우메트로디오빌,서울특별시 마포구 신공덕동 167,5
4521,대우아이빌,서울특별시 서초구 잠원동 42-13,5
375,대우월드마크마포,서울특별시 마포구 신공덕동 173,5
1224,도화동현대,서울특별시 마포구 도화동 357,5
1226,도화현대,서울특별시 마포구 도화동 547,5
1601,동대문와이즈캐슬,서울특별시 중구 흥인동 119,5
2944,동부썬빌,서울특별시 송파구 가락동 99-6,5
2935,동성아파트(101동),서울특별시 송파구 가락동 15,5
2953,동성아파트(102동),서울특별시 송파구 가락동 15-4,5
2931,동성아파트(103동),서울특별시 송파구 가락동 15-11,5
1586,동인샤인빌,서울특별시 성동구 옥수동 12,5
1422,동일하이빌,서울특별시 서초구 서초동 1542-1,5
1220,래디앙,서울특별시 서대문구 창천동 511-5,5
2761,래미안퍼스티지,서울특별시 서초구 반포동 18-1,5
3464,로얄카운티-2,서울특별시 용산구 원효로1가 17-5,5
2952,로즈힐파크(A동),서울특별시 송파구 가락동 111-13,5
2926,로즈힐파크(B동),서울특별시 송파구 가락동 111-12,5
1885,롯데캐슬프레지던트,서울특별시 마포구 공덕동 467,5
1100,리첸시아용산B,서울특별시 용산구 문배동 40-31,5
1103,마장동중앙하이츠,서울특별시 성동구 마장동 819,5
1111,마장동해맑은아파트,서울특별시 성동구 마장동 797-3,5
1888,마포공덕파크팰리스Ⅱ,서울특별시 마포구 공덕동 462,5
4355,문래동삼환,서울특별시 영등포구 문래동4가 43,5
2765,반포자이,서울특별시 서초구 반포동 20-43,5
905,벨러스빌,서울특별시 강남구 논현동 47-11,5
1837,북아현맨션,서울특별시 서대문구 북아현동 114-1,5
4775,북한산힐스테이트7차,서울특별시 은평구 불광동 643,5
914,브라운스톤,서울특별시 강남구 논현동 43-3,5
3453,브라운스톤남산,서울특별시 용산구 후암동 458,5
4637,삼성V아파트A동,서울특별시 중구 신당동 290-42,5
3442,삼성사이버빌리지,서울특별시 중구 중림동 200,5
1830,삼우빌라,서울특별시 서대문구 북아현동 123-1,5
2517,삼익대청아파트,서울특별시 강남구 개포동 12,5
37,삼전솔하임4차,서울특별시 종로구 숭인동 318-2,5
2768,삼호가든맨션(5차),서울특별시 서초구 반포동 30-1,5
4558,새서울맨션,서울특별시 서초구 잠원동 19-4,5
394,서교푸르지오,서울특별시 마포구 서교동 486,5
3072,서울숲한성,서울특별시 성동구 행당동 1-115,5
1458,서초두산위브트레지움,서울특별시 서초구 서초동 1310-4,5
1504,서초로얄,서울특별시 서초구 서초동 1627-3,5
1530,서초타워시티빌,서울특별시 서초구 서초동 1310-9,5
2513,성원대치2단지아파트,서울특별시 강남구 개포동 12,5
2909,성원상떼빌,서울특별시 송파구 가락동 80,5
4551,성진준빌라트,서울특별시 서초구 잠원동 48-5,5
1658,송산아파트,서울특별시 성북구 동소문동4가 279,5
2920,송파Nsuite,서울특별시 송파구 가락동 77-7,5
891,스위트캐슬레지던스,서울특별시 강남구 논현동 55,5
369,신공덕1차삼성래미안1아파트,서울특별시 마포구 신공덕동 155,5
367,신공덕래미안3차,서울특별시 마포구 신공덕동 161,5
3537,신답경남,서울특별시 동대문구 답십리동 645-8,5
4631,신당동파라다이스,서울특별시 중구 신당동 846,5
884,신동아(22),서울특별시 강남구 논현동 22,5
1107,신명스카이뷰,서울특별시 성동구 마장동 830,5
4526,신반포12,서울특별시 서초구 잠원동 50-5,5
4522,신반포4,서울특별시 서초구 잠원동 70,5
3745,신촌자이엘라,서울특별시 서대문구 대현동 104-36,5
1894,신촌포스빌,서울특별시 마포구 노고산동 1-3,5
4512,신화,서울특별시 서초구 잠원동 54-7,5
2939,쌍용노블래스,서울특별시 송파구 가락동 29-16,5
3381,아카데미스위트1,서울특별시 강남구 도곡동 467-7,5
1094,아크로타워,서울특별시 용산구 문배동 24-21,5
1219,엘르빌2차,서울특별시 서대문구 창천동 368,5
2442,여흥레이크빌,서울특별시 송파구 송파동 31,5
3786,예원,서울특별시 마포구 중동 58-39,5
1584,옥수,서울특별시 성동구 옥수동 306,5
1104,왕십리금호어울림,서울특별시 성동구 마장동 820,5
904,요진보네르,서울특별시 강남구 논현동 46-3,5
1623,용두아파트,서울특별시 동대문구 용두동 39-446,5
1095,용산KCC웰츠타워,서울특별시 용산구 문배동 11-10,5
3469,용산시티파크(1단지),서울특별시 용산구 한강로3가 63-389,5
4651,용산아이피아대주피오레,서울특별시 용산구 한강로2가 2-185,5
1097,용산큐브,서울특별시 용산구 문배동 24-4,5
4650,용산파크e-편한세상,서울특별시 용산구 한강로2가 417,5
56,용산파크타워(24-0),서울특별시 용산구 용산동5가 24,5
3397,우성캐릭터199,서울특별시 강남구 도곡동 467-24,5
3411,우성캐릭터빌,서울특별시 강남구 도곡동 467-18,5
3073,우성포커스,서울특별시 성동구 행당동 1-4,5
1600,우일타운,서울특별시 중구 흥인동 3-4,5
1537,잠실더샵스타파크,서울특별시 송파구 신천동 7-14,5
1536,잠실푸르지오월드마크,서울특별시 송파구 신천동 11-4,5
4531,잠원아이비,서울특별시 서초구 잠원동 34-1,5
3525,주함해븐아파트,서울특별시 동대문구 신설동 8-1,5
910,지고하임(102동),서울특별시 강남구 논현동 44-9,5
1090,지오베르크,서울특별시 용산구 문배동 17-1,5
4635,진달래,서울특별시 중구 신당동 333-42,5
3524,청계천대성스카이렉스1,서울특별시 동대문구 신설동 109-13,5
1755,청구,서울특별시 은평구 수색동 413,5
4624,청구103동,서울특별시 중구 신당동 841-12,5
4805,청나아파트,서울특별시 은평구 불광동 330-14,5
1626,청재제일타운,서울특별시 동대문구 용두동 785,5
2941,카나피아Ⅱ,서울특별시 송파구 가락동 34-1,5
1545,크로바,서울특별시 송파구 신천동 17-6,5
370,펜트라우스,서울특별시 마포구 신공덕동 172,5
4629,하이1(113-5),서울특별시 중구 신당동 113-5,5
1217,하이펠리스,서울특별시 서대문구 창천동 470,5
4649,한강로대우아이빌,서울특별시 용산구 한강로2가 2-11,5
2766,한신3차,서울특별시 서초구 반포동 1-1,5
1540,한신잠실코아,서울특별시 송파구 신천동 11-9,5
1405,현대ESA2,서울특별시 서초구 서초동 1542-6,5
3385,현대비젼21,서울특별시 강남구 도곡동 467-19,5
1232,현대예술아파트,서울특별시 마포구 도화동 240-1,5
2437,호수임광,서울특별시 송파구 송파동 33,5
3436,효성쥬얼리시티,서울특별시 종로구 인의동 48-2,5
3045,효창한신,서울특별시 용산구 효창동 5-145,5
3451,후암맨션,서울특별시 용산구 후암동 1-20,5
895,힐스빌7,서울특별시 강남구 논현동 46-2,5
912,힐타워,서울특별시 강남구 논현동 53-1,5
1607,(1546-0),서울특별시 중구 황학동 1546,4
1088,CJ나인파크,서울특별시 용산구 문배동 24-6,4
3727,DMC덕원,서울특별시 은평구 증산동 220-1,4
405,DMC상암센트럴파크2단지,서울특별시 마포구 상암동 1618,4
3325,DMC이랜드해가든,서울특별시 서대문구 북가좌동 460,4
1604,DUO302,서울특별시 중구 황학동 819,4
3922,SKVIEW,서울특별시 구로구 신도림동 432-1,4
4378,SK리더스뷰(파스텔시티),서울특별시 서초구 방배동 444-3,4
3036,SK리더스뷰남산,서울특별시 중구 회현동1가 206,4
2905,가락금호아파트,서울특별시 송파구 가락동 95-1,4
3485,강변힐하우스,서울특별시 광진구 구의동 596-1,4
5183,개나리푸르지오,서울특별시 강남구 역삼동 755-1,4
5325,개포우성2,서울특별시 강남구 대치동 500,4
2510,개포자이,서울특별시 강남구 개포동 12-2,4
5134,건영4,서울특별시 관악구 신림동 1702-1,4
1222,건우그린,서울특별시 서대문구 창천동 359,4
4231,골드스타,서울특별시 은평구 갈현동 456-19,4
4022,관악산센텀,서울특별시 관악구 남현동 1066-13,4
3291,광산,서울특별시 서대문구 홍제동 157-68,4
3486,구의현대7단지현대홈타운,서울특별시 광진구 구의동 587-54,4
4604,그랑밸리(64),서울특별시 송파구 오금동 64,4
3314,그레이스(B동),서울특별시 서대문구 홍제동 131-9,4
4776,극동메트로타워,서울특별시 은평구 불광동 311-13,4
4793,금상아파트,서울특별시 은평구 불광동 346-3,4
3513,나크빌라트,서울특별시 광진구 구의동 590-7,4
3034,남산롯데캐슬아이리스,서울특별시 중구 회현동1가 208,4
3447,남산애지앙,서울특별시 용산구 후암동 1-10,4
4784,남해그린힐,서울특별시 은평구 불광동 632,4
4017,뉴타운1동(A동),서울특별시 관악구 남현동 602-329,4
3995,뉴타운B동,서울특별시 관악구 남현동 602-378,4
3998,다청림라인씨티,서울특별시 관악구 남현동 602-17,4
1305,당산계룡리슈빌1단지,서울특별시 영등포구 당산동3가 564,4
1304,당산계룡리슈빌2단지,서울특별시 영등포구 당산동3가 566,4
1301,당산계룡리슈빌3단지,서울특별시 영등포구 당산동3가 565,4
1300,당산한양,서울특별시 영등포구 당산동3가 2-6,4
173,대동,서울특별시 광진구 자양동 784-1,4
1431,대림서초리시온,서울특별시 서초구 서초동 1671-5,4
740,대방1차e-편한세상,서울특별시 동작구 대방동 508,4
738,대방동현대,서울특별시 동작구 대방동 502,4
5082,대방전철,서울특별시 영등포구 신길동 1343,4
749,대방홈타운,서울특별시 동작구 대방동 377-1,4
4609,대영공원(102동),서울특별시 송파구 오금동 54-4,4
5242,대우멤버스카운티201,서울특별시 강남구 삼성동 33-20,4
3465,대우월드마크용산,서울특별시 용산구 한강로1가 64,4
1808,대일아이안(9-25),서울특별시 은평구 대조동 9-25,4
1811,대조동아트캐슬주상복합,서울특별시 은평구 대조동 198-10,4
